name,group,'m1', 'm2', 'm3', 'm4', 'm5', 'm6', 'm7', 'fx', 'fy', 'fz', 'tx', 'alpha'
index,group,0,0,0,0,0,0,0,0,0,0,0,0
index,group,1,1,1,1,1,1,1,1,1,1,1,1
index,group,0.3092861069377648,0.1466412630705003,0.31229191082472235,0.2919274132570781,0.5,0.5,1,0,0,0,0,0
index,group,0.3063364482674824,0.14519810007814773,0.2883693942544056,0.2764605082724674,0.5325426314616364,0.5718585335292701,0.9805311414443396,0,0,0,0,0
index,group,0.30323166609487334,0.1433007133333535,0.1736422556478329,0.20915784650122707,0.5928323404183361,0.9581234756308812,0.9502606713435554,0,0,0,0,0
index,group,0.2774624190805842,0.13157163503905978,0.2450769418726486,0.23904546467928622,0.5777531813809182,0.5853949664991733,0.8641369087076338,0,0,0,0,0
index,group,0.25004473708755304,0.11819759999800444,0.2183699808722282,0.22019351063114134,0.2634746634190021,0.5033576369873601,0.8416269096623956,0,0,0,0,0
index,group,0.30294939587895464,0.14367965090816703,0.33112416858982535,0.30141241653806766,0.4369874498222215,0.39645117520501827,0.9933914472448601,0,0,0,0,0
index,group,0.26393658084335114,0.12554609817221848,0.25567632574280896,0.2352308576979669,0.7517714898853729,0.5052146430650113,0.7733618043839905,0,0,0,0,0
index,group,0.2889581980530559,0.13736862172613518,0.35485658395538133,0.30699940435382267,0.5191850137053325,0.25724374999305427,0.9239276664531464,0,0,0,0,0
index,group,0.13906145559458508,0.06558531766881535,0.132176132977154,0.13190876329766574,0.004415003787015204,0.22502634799206003,0.5032738899706267,0,0,0,0,0
index,group,0.23448456268240644,0.11085201198759903,0.16663163670637735,0.18183267750755927,0.3799312369428244,0.6198672829862988,0.7552728991573727,0,0,0,0,0
index,group,0.2904510883386088,0.130311613610824,0.3498294347838746,0.314598791820337,0.5,0.5,1,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
